measure_id,measure_documentation_name,public_repo_measure_folder_name,2025_comstock_amy2018_release_3_upgrade_id,2025_comstock_amy2018_release_3_upgrade_name,2025_comstock_amy2018_release_2_upgrade_id,2025_comstock_amy2018_release_2_upgrade_name,2025_comstock_amy2018_release_1_upgrade_id,2025_comstock_amy2018_release_1_upgrade_name,2024_comstock_amy2018_release_2_upgrade_id,2024_comstock_amy2018_release_2_upgrade_name,2024_comstock_amy2018_release_1_upgrade_id,2024_comstock_amy2018_release_1_upgrade_name,2023_comstock_amy2018_release_2_upgrade_id,2023_comstock_amy2018_release_2_upgrade_name,2023_comstock_amy2018_release_1_upgrade_id,2023_comstock_amy2018_release_1_upgrade_name
hvac_0009,Economizers,upgrade_hvac_economizer,21,Air Side Economizers for AHUs,18,Air Side Economizers for AHUs,18,Air Side Economizers for AHUs,13,Air Side Economizers for AHUs,10,Air Side Economizers for AHUs,,,,
hvac_0010,Variable Refrigerant Flow With 25% Upsizing Allowance for Heating,upgrade_hvac_vrf_hr_doas,13,VRF with 25pct Upsizing Allowance,12,VRF with 25pct Upsizing Allowance,12,VRF with 25pct Upsizing Allowance,9,VRF with 25pct Upsizing Allowance,6,VRF with 25pct Upsizing Allowance,,,,
hvac_0011,Standard Performance Heat Pump Rooftop Unit with New Windows,upgrade_hvac_add_heat_pump_rtu,7,"Standard Performance HP RTU, Electric Backup + New Windows",7,"Standard Performance HP RTU, Electric Backup + New Windows",7,"Standard Performance HP RTU, Electric Backup + New Windows",,,,,,,,
hvac_0012,Improved Fan Scheduling and Control of Outdoor Air During Unoccupied Periods ,upgrade_unoccupied_oa_controls,23,Unoccupied AHU Control,22,Unoccupied AHU Control,22,Unoccupied AHU Control,17,Unoccupied AHU Control,14,Unoccupied AHU Control,,,,
hvac_0013,Heat Pump RTU with Exhaust Air Energy Recovery,upgrade_hvac_add_heat_pump_rtu,3,"Variable Speed HP RTU, Electric Backup, Energy Recovery",3,"Variable Speed HP RTU, Electric Backup, Energy Recovery",3,"Variable Speed HP RTU, Electric Backup, Energy Recovery",3,"Variable Speed HP RTU, Electric Backup, Energy Recovery",3,"Variable Speed HP RTU, Electric Backup, Energy Recovery",,,,
hvac_0014,Advanced Rooftop Unit Control,upgrade_advanced_rtu_control,22,Advanced RTU Controls,21,Advanced RTU Controls,21,Advanced RTU Controls,16,Advanced RTU Controls,13,Advanced RTU Controls,,,,
hvac_0015,Central Ground-Source Water-to-Water Heat Pump,upgrade_hvac_hydronic_gshp,28,Hydronic Water-to-Water Geothermal Heat Pump,24,Hydronic Water-to-Water Geothermal Heat Pump,24,Hydronic Water-to-Water Geothermal Heat Pump,19,Hydronic Water-to-Water Geothermal Heat Pump,15,Hydronic Water-to-Water Geothermal Heat Pump,,,,
hvac_0016,Packaged Water-to-Air Geothermal Heat Pump,upgrade_hvac_packaged_gshp,29,Packaged Water-to-Air Geothermal Heat Pump,25,Packaged Water-to-Air Geothermal Heat Pump,25,Packaged Water-to-Air Geothermal Heat Pump,20,Packaged Water-to-Air Geothermal Heat Pump,16,Packaged Water-to-Air Geothermal Heat Pump,,,,
hvac_0017,Ground-Coupled Console Water-to-Air Heat Pump,upgrade_hvac_console_gshp,30,Console Water-to-Air Geothermal Heat Pump,26,Console Water-to-Air Geothermal Heat Pump,26,Console Water-to-Air Geothermal Heat Pump,21,Console Water-to-Air Geothermal Heat Pump,17,Console Water-to-Air Geothermal Heat Pump,,,,
hvac_0018,Heat Pump Rooftop Units With Standard Performance,upgrade_hvac_add_heat_pump_rtu,4,"Standard Performance HP RTU, Electric Backup",4,"Standard Performance HP RTU, Electric Backup",4,"Standard Performance HP RTU, Electric Backup",4,"Standard Performance HP RTU, Electric Backup",,,,,,
hvac_0019,Standard Performance Heat Pump Rooftop Unit with New Roof,upgrade_hvac_add_heat_pump_rtu,6,"Standard Performance HP RTU, Electric Backup + Roof Insulation",6,"Standard Performance HP RTU, Electric Backup + Roof Insulation",6,"Standard Performance HP RTU, Electric Backup + Roof Insulation",5,"Standard Performance HP RTU, Electric Backup + Roof Insulation",,,,,,
hvac_0020,Heat Pump Rooftop Units With Higher Compressor Lockout Temperature for Heating,upgrade_hvac_add_heat_pump_rtu,8,"Standard Performance HP RTU, Electric Backup, 32F Minimum Compressor Lockout",8,"Standard Performance HP RTU, Electric Backup, 32F Minimum Compressor Lockout",8,"Standard Performance HP RTU, Electric Backup, 32F Minimum Compressor Lockout",6,"Standard Performance HP RTU, Electric Backup, 32F Minimum Compressor Lockout",,,,,,
hvac_0021,"Cold Climate Heat Pump Rooftop Unit Challenge, 2027 Specification",upgrade_hvac_add_heat_pump_rtu,10,"Commercial HVAC Challenge HP RTU, Electric Backup",10,"Cold Climate Challenge HP RTU, Electric Backup",10,"Cold Climate Challenge HP RTU, Electric Backup",7,"Cold Climate Challenge HP RTU, Electric Backup",,,,,,
hvac_0022,Ideal Thermal Air Loads,upgrade_hvac_enable_ideal_air_loads,27,Ideal Thermal Air Loads,23,Ideal Thermal Air Loads,23,Ideal Thermal Air Loads,18,Ideal Thermal Air Loads,,,,,,
hvac_0023,Reduced Thermostat Setbacks for Heat Pumps,upgrade_hvac_add_heat_pump_rtu,9,"Standard Performance HP RTU, Electric Backup, 2F Unoccupied Htg Thermostat Setback",9,"Standard Performance HP RTU, Electric Backup, 2F Unoccupied Htg Thermostat Setback",9,"Standard Performance HP RTU, Electric Backup, 2F Unoccupied Htg Thermostat Setback",,,,,,,,
hvac_0024,Chiller Replacement,upgrade_hvac_chiller,31,Chiller Replacement,27,Chiller Replacement,27,Chiller Replacement,,,,,,,,
hvac_0025,Laboratory-Informed Modeling of Standard Performance Heat Pump Rooftop Units ,upgrade_hvac_add_heat_pump_rtu,5,"Standard Performance HP RTU using Lab Data, Electric Backup",5,"Standard Performance HP RTU using Lab Data, Electric Backup",5,"Standard Performance HP RTU using Lab Data, Electric Backup",,,,,,,,
hvac_0026,Condensing Gas Boilers,upgrade_hvac_condensing_boiler,17,Condensing Gas Boilers,16,Condensing Gas Boilers,16,Condensing Gas Boilers,,,,,,,,
hvac_0027,Electric Resistance Boilers,upgrade_hvac_electric_resistance_boiler,18,Electric Resistance Boilers,17,Electric Resistance Boilers,17,Electric Resistance Boilers,,,,,,,,
hvac_0028,High-Efficiency Rooftop Unit,upgrade_hvac_rtu_adv,11,Advanced RTU,,,,,,,,,,,,
hvac_0029,Variable Speed Pumps,upgrade_hvac_pump,26,VFD Pumps,,,,,,,,,,,,
hvac_0030,Thermostat Setbacks During Unoccupied Periods ,upgrade_add_thermostat_setback,25,Thermostat Setbacks,,,,,,,,,,,,
hvac_0031,Fan Static Pressure Reset for Multizone VAV Systems,upgrade_hvac_fan_static_pressure_reset,24,Fan Static Pressure Reset for Multizone VAV,,,,,,,,,,,,
ltg_0001,LED Lighting,upgrade_light_led,43,LED Lighting,39,LED Lighting,39,LED Lighting,27,LED Lighting,21,LED Lighting,10,LED Lighting,5,LED Lighting
ltg_0002,Lighting Controls,upgrade_light_lighting_controls,44,Lighting Controls,40,Lighting Controls,,,,,,,,,,
ppl_0001,Electric Cooking Equipment,upgrade_ppl_electric_kitchen_equipment,45,Electric Kitchen Equipment,41,Electric Kitchen Equipment,40,Electric Kitchen Equipment,28,Electric Kitchen Equipment,22,Electric Kitchen Equipment,,,,
gen_0001,Photovoltaics With 40% Rooftop Coverage,upgrade_add_pvwatts,46,Photovoltaics with 40pct Roof Coverage,42,Photovoltaics with 40pct Roof Coverage,41,Photovoltaics with 40pct Roof Coverage,,,,,,,,
gen_0002,Photovoltaics With 40% Rooftop Coverage and Battery Storage,upgrade_add_pvwatts,47,Photovoltaics with 40pct Roof Coverage + Battery Storage,43,Photovoltaics with 40pct Roof Coverage + Battery Storage,,,,,,,,,,
dr_0001,Thermostat Control for Load Shed,upgrade_df_thermostat_control_load_shed,32,"Demand Flexibility, Thermostat Control, Load Shed for Daily Bldg Peak Reduction",28,"Demand Flexibility, Thermostat Control, Load Shed for Daily Bldg Peak Reduction",28,"Demand Flexibility, Thermostat Control, Load Shed for Daily Bldg Peak Reduction",23,"Demand Flexibility, Thermostat Control, Load Shed for Daily Bldg Peak Reduction",19,"Demand Flexibility, Thermostat Control, Load Shed",,,,
dr_0002,Thermostat Control for Load Shift,upgrade_df_thermostat_control_load_shift,33,"Demand Flexibility, Thermostat Control, Load Shift for Daily Bldg Peak Reduction",29,"Demand Flexibility, Thermostat Control, Load Shift for Daily Bldg Peak Reduction",29,"Demand Flexibility, Thermostat Control, Load Shift for Daily Bldg Peak Reduction",24,"Demand Flexibility, Thermostat Control, Load Shift for Daily Bldg Peak Reduction",20,"Demand Flexibility, Thermostat Control, Load Shift",,,,
dr_0003,Lighting Control for Load Shedding,upgrade_df_lighting_control,34,"Demand Flexibility, Lighting Control, Load Shed for Daily Bldg Peak Reduction",30,"Demand Flexibility, Lighting Control, Load Shed for Daily Bldg Peak Reduction",30,"Demand Flexibility, Lighting Control, Load Shed for Daily Bldg Peak Reduction",25,"Demand Flexibility, Lighting Control, Load Shed for Daily Bldg Peak Reduction",,,,,,
dr_0004,Lighting Control for Emission Reduction,upgrade_df_lighting_control,35,"Demand Flexibility, Lighting Control, Load Shed for Daily GHG Emission Reduction",31,"Demand Flexibility, Lighting Control, Load Shed for Daily GHG Emission Reduction",31,"Demand Flexibility, Lighting Control, Load Shed for Daily GHG Emission Reduction",26,"Demand Flexibility, Lighting Control, Load Shed for Daily GHG Emission Reduction",,,,,,
dr_0005,Thermostat and Lighting Control for Load Shedding ,upgrade_df_thermostat_control_load_shed,36,"Demand Flexibility, Thermostat Control, Load Shed for Grid Peak Reduction",32,"Demand Flexibility, Thermostat Control, Load Shed for Grid Peak Reduction",32,"Demand Flexibility, Thermostat Control, Load Shed for Grid Peak Reduction",,,,,,,,
dr_0006,Thermostat and Lighting Control for Load Shedding ,upgrade_df_lighting_control,37,"Demand Flexibility, Lighting Control, Load Shed for Grid Peak Reduction",33,"Demand Flexibility, Lighting Control, Load Shed for Grid Peak Reduction",33,"Demand Flexibility, Lighting Control, Load Shed for Grid Peak Reduction",,,,,,,,
dr_0007,Low Priority Device Switching During Peak Hours,https://github.com/LBNL-ETA/Openstudio-GEB-gem/tree/comstock_OS3.8/lib/measures/reduce_epd_by_percentage_for_peak_hours,38,"Demand Flexibility, Plug Load Control (GEB Gem), Load Shed for Grid Peak Reduction",34,"Demand Flexibility, Plug Load Control (GEB Gem), Load Shed for Grid Peak Reduction",34,"Demand Flexibility, Plug Load Control (GEB Gem), Load Shed for Grid Peak Reduction",,,,,,,,
dr_0008,Dim Lighting During Peak Hours,https://github.com/LBNL-ETA/Openstudio-GEB-gem/tree/comstock_OS3.8/lib/measures/reduce_lpd_by_percentage_for_peak_hours,39,"Demand Flexibility, Lighting Control (GEB Gem), Load Shed for Grid Peak Reduction",35,"Demand Flexibility, Lighting Control (GEB Gem), Load Shed for Grid Peak Reduction",35,"Demand Flexibility, Lighting Control (GEB Gem), Load Shed for Grid Peak Reduction",,,,,,,,
dr_0009,Electric HVAC Temperature Setpoint Adjustment During Peak Hours,https://github.com/LBNL-ETA/Openstudio-GEB-gem/tree/comstock_OS3.8/lib/measures/AdjustThermostatSetpointsByDegreesForPeakHours,40,"Demand Flexibility, Thermostat Control (GEB Gem), Load Shed for Grid Peak Reduction",36,"Demand Flexibility, Thermostat Control (GEB Gem), Load Shed for Grid Peak Reduction",36,"Demand Flexibility, Thermostat Control (GEB Gem), Load Shed for Grid Peak Reduction",,,,,,,,
dr_0010,Electric HVAC Preheating by Thermostat Control,https://github.com/LBNL-ETA/Openstudio-GEB-gem/tree/comstock_OS3.8/lib/measures/preheating,41,"Demand Flexibility, Preheat (GEB Gem), Load Shift for Grid Peak Reduction",37,"Demand Flexibility, Preheat (GEB Gem), Load Shift for Grid Peak Reduction",37,"Demand Flexibility, Preheat (GEB Gem), Load Shift for Grid Peak Reduction",,,,,,,,
dr_0011,Electric HVAC Precooling by Thermostat Control,https://github.com/LBNL-ETA/Openstudio-GEB-gem/tree/comstock_OS3.8/lib/measures/precooling,42,"Demand Flexibility, Precool (GEB Gem), Load Shift for Grid Peak Reduction",38,"Demand Flexibility, Precool (GEB Gem), Load Shift for Grid Peak Reduction",38,"Demand Flexibility, Precool (GEB Gem), Load Shift for Grid Peak Reduction",,,,,,,,
pkg_0001,Wall and Roof Insulation and New Windows,upgrade_env_exterior_wall_insulation; upgrade_env_roof_insulation_aedg; upgrade_env_new_aedg_windows,54,"Package 1, Wall + Roof Insulation + New Windows",50,"Package 1, Wall & Roof Insulation + New Windows",47,"Package 1, Wall & Roof Insulation + New Windows",34,"Package 1, Wall & Roof Insulation + New Windows",28,"Package 1, Wall & Roof Insulation + New Windows",16,Package 1,,
pkg_0002,"LED Lighting, HP-RTU and ASHP-Boiler",upgrade_hvac_add_heat_pump_rtu; upgrade_hvac_replace_boiler_by_heat_pump; upgrade_light_led,55,"Package 2, LED Lighting + Variable Speed HP RTU or HP Boilers",51,"Package 2, LED Lighting + Variable Speed HP RTU or HP Boilers",48,"Package 2, LED Lighting + Variable Speed HP RTU or HP Boilers",35,"Package 2, LED Lighting + Variable Speed HP RTU or HP Boilers",29,"Package 2, LED Lighting + Variable Speed HP RTU or HP Boilers",17,Package 2,,
pkg_0003,"Wall and Roof Insulation, New Windows, LED Lighting,  HP-RTU and ASHP-Boiler",upgrade_env_exterior_wall_insulation; upgrade_env_roof_insulation_aedg; upgrade_env_new_aedg_windows; upgrade_hvac_add_heat_pump_rtu; upgrade_hvac_replace_boiler_by_heat_pump; upgrade_light_led,52,"Package 4, Package 1 + Package 2",52,"Package 3, Package 1 + Package 2",50,"Package 4, Package 1 + Package 2",37,"Package 4, Package 1 + Package 2",31,"Package 4, Package 1 + Package 2",18,Package 3,,
pkg_0004,"LED Lighting, Standard Performance HP-RTU and ASHP-Boiler",upgrade_hvac_add_heat_pump_rtu; upgrade_hvac_replace_boiler_by_heat_pump; upgrade_light_led,53,"Package 3, Package 2 with Standard Performance HP RTU",53,"Package 4, Package 2 with Standard Performance HP RTU",49,"Package 3, Package 2 with Standard Performance HP RTU",36,"Package 3, Package 2 with Standard Performance HP RTU",,,,,,
pkg_0005,HP-RTU + ASHP Boiler + Demand Control Ventilation + Heat/Energy Recovery + Economizers ,upgrade_hvac_add_heat_pump_rtu; upgrade_hvac_replace_boiler_by_heat_pump; upgrade_hvac_economizer; upgrade_hvac_dcv; upgrade_hvac_exhaust_air_energy_or_heat_recovery,58,"Package 5, Variable Speed HP RTU or HP Boilers + Economizer + DCV + Energy Recovery",54,"Package 5, Variable Speed HP RTU or HP Boilers + Economizer + DCV + Energy Recovery",51,"Package 5, Variable Speed HP RTU or HP Boilers + Economizer + DCV + Energy Recovery",38,"Package 5, Variable Speed HP RTU or HP Boilers + Economizer + DCV + Energy Recovery",32,"Package 5, Variable Speed HP RTU or HP Boilers + Economizer + DCV + Energy Recovery",,,,
pkg_0006,"Comprehensive Geothermal Heat Pump Package - Hydronic GHP, Packaged GHP, or Console GHP",upgrade_hvac_hydronic_gshp; upgrade_hvac_console_gshp; upgrade_hvac_packaged_gshp,59,"Package 6, Hydronic GHP or Packaged GHP or Console GHP",58,"Package 9, Hydronic GHP or Packaged GHP or Console GHP",55,"Package 9, Hydronic GHP or Packaged GHP or Console GHP",22,"Comprehensive Geothermal Heat Pump Package, Hydronic GHP, Packaged GHP, or Console GHP",18,"Comprehensive Geothermal Heat Pump Package, Hydronic GHP, Packaged GHP, or Console GHP",,,,
pkg_0007,Thermostat and Lighting Control for Load Shedding ,upgrade_df_thermostat_control_load_shed; upgrade_df_lighting_control,60,"Package 7, Demand Flexibility, Lighting + Thermostat Control, Load Shed for Grid Peak Reduction",56,"Package 7, Demand Flexibility, Lighting + Thermostat Control, Load Shed for Grid Peak Reduction",53,"Package 7, Demand Flexibility, Lighting + Thermostat Control, Load Shed for Grid Peak Reduction",,,,,,,,
pkg_0008,Thermostat and Lighting Control for Load Shedding + Photovoltaics With 40% Rooftop Coverage ,upgrade_df_thermostat_control_load_shed; upgrade_df_lighting_control; upgrade_add_pvwatts,61,"Package 8, Demand Flexibility, Lighting + Thermostat Control Load Shed for Daily Bldg Peak Reduction + PV",57,"Package 8, Demand Flexibility, Lighting + Thermostat Control Load Shed for Daily Bldg Peak Reduction + PV",54,"Package 8, Demand Flexibility, Lighting + Thermostat Control Load Shed for Daily Bldg Peak Reduction + PV",,,,,,,,
pkg_0009,"Demand Flexibility, Lighting + Thermostat Control, Load Shed for Daily Bldg Peak Reduction",upgrade_df_thermostat_control_load_shed; upgrade_df_lighting_control,62,"Package 9, Demand Flexibility, Lighting + Thermostat Control, Load Shed for Daily Bldg Peak Reduction",55,"Package 6, Demand Flexibility, Lighting + Thermostat Control, Load Shed for Daily Bldg Peak Reduction",52,"Package 6, Demand Flexibility, Lighting + Thermostat Control, Load Shed for Daily Bldg Peak Reduction",39,"Package 6 - Demand Flexibility, Lighting + Thermostat Control, Load Shed for Daily Bldg Peak Reduction",,,,,,
pkg_0010,Geothermal Heat Pumps + High -Efficiency Envelope Package,upgrade_env_exterior_wall_insulation; upgrade_env_roof_insulation_aedg; upgrade_env_new_aedg_windows; upgrade_hvac_hydronic_gshp; upgrade_hvac_console_gshp; upgrade_hvac_packaged_gshp,63,"Package 10, Package 1 + Package 6",59,"Package 10, Package 1 + Package 9",56,"Package 10, Package 1 + Package 9",,,,,,,,
pkg_0011,Geothermal Heat Pumps + High -Efficiency Envelope + LED Lighting Package,upgrade_env_exterior_wall_insulation; upgrade_env_roof_insulation_aedg; upgrade_env_new_aedg_windows; upgrade_hvac_hydronic_gshp; upgrade_hvac_console_gshp; upgrade_hvac_packaged_gshp; upgrade_light_led,64,"Package 11, Package 10 + LED Lighting",60,"Package 11, Package 10 + LED Lighting",57,"Package 11, Package 10 + LED Lighting",,,,,,,,
pkg_0012,Photovoltaics With 40% Rooftop Coverage with new roof,upgrade_add_pvwatts; upgrade_env_roof_insulation_aedg,65,"Package 12, Photovoltaics with 40pct Roof Coverage + Roof Insulation",61,"Package 12, Photovoltaics with 40pct Roof Coverage + Roof Insulation",,,,,,,,,,
