measure_id,measure_documentation_name,public_repo_measure_folder_name,2025_comstock_amy2018_release_3_upgrade_id,2025_comstock_amy2018_release_3_upgrade_name,2025_comstock_amy2018_release_2_upgrade_id,2025_comstock_amy2018_release_2_upgrade_name,2025_comstock_amy2018_release_1_upgrade_id,2025_comstock_amy2018_release_1_upgrade_name,2024_comstock_amy2018_release_2_upgrade_id,2024_comstock_amy2018_release_2_upgrade_name,2024_comstock_amy2018_release_1_upgrade_id,2024_comstock_amy2018_release_1_upgrade_name,2023_comstock_amy2018_release_2_upgrade_id,2023_comstock_amy2018_release_2_upgrade_name,2023_comstock_amy2018_release_1_upgrade_id,2023_comstock_amy2018_release_1_upgrade_name
env_0001,Exterior Wall Insulation,upgrade_env_exterior_wall_insulation,48,Wall Insulation,44,Wall Insulation,42,Wall Insulation,29,Wall Insulation,23,Wall Insulation,11,Wall Insulation,6,Wall Insulation
env_0002,Roof Insulation,upgrade_env_roof_insulation_aedg,49,Roof Insulation,45,Roof Insulation,43,Roof Insulation,30,Roof Insulation,24,Roof Insulation,12,Roof Insulation,7,Roof Insulation
env_0003,Secondary Window System,upgrade_env_secondary_windows,50,Secondary Windows,46,Secondary Windows,44,Secondary Windows,31,Secondary Windows,25,Secondary Windows,13,Secondary Windows,8,Secondary Windows
env_0004,Window Film,upgrade_env_window_film,51,Window Film,47,Window Film,45,Window Film,32,Window Film,26,Window Film,14,Window Film,9,Window Film
env_0005,Window Replacement,upgrade_env_new_aedg_windows,52,New Windows,48,New Windows,46,New Windows,33,New Windows,27,New Windows,15,New Windows,10,New Windows
env_0006,Code_Envelope,upgrade_env_latest_envelope_code,49,Code Envelope,49,Upgrade envelope to latest code,,,,,,,,,,
hvac_0001,Air-Source Heat Pump Boiler,upgrade_hvac_replace_boiler_by_heat_pump,15,"HP Boiler, Electric Backup",14,"HP Boiler, Electric Backup",14,"HP Boiler, Electric Backup",11,"HP Boiler, Electric Backup",8,"HP Boiler, Electric Backup",5,HP Boiler E Backup,3,Heat Pump Boiler
hvac_0002,Air-Source Heat Pump Boiler and Natural Gas Boiler Backup,upgrade_hvac_replace_boiler_by_heat_pump,16,"HP Boiler, Gas Backup",15,"HP Boiler, Gas Backup",15,"HP Boiler, Gas Backup",12,"HP Boiler, Gas Backup",9,"HP Boiler, Gas Backup",2,HP Boiler G Backup,,
hvac_0003,DOAS with Mini Split Heat Pumps,upgrade_doas_hp_minisplits,14,DOAS HP Minisplits,13,DOAS HP Minisplits,13,DOAS HP Minisplits,10,DOAS HP Minisplits,7,DOAS HP Minisplits,4,DOAS HP Minisplits,2,DOAS HP Minisplits
hvac_0004,Heat Pump RTU with Original Fuel Backup,upgrade_hvac_add_heat_pump_rtu,2,"Variable Speed HP RTU, Original Heating Fuel Backup",2,"Variable Speed HP RTU, Original Heating Fuel Backup",2,"Variable Speed HP RTU, Original Heating Fuel Backup",2,"Variable Speed HP RTU, Original Heating Fuel Backup",2,"Variable Speed HP RTU, Original Heating Fuel Backup",2,HP RTU G Backup,,
hvac_0005,Heat Pump RTU,upgrade_hvac_add_heat_pump_rtu,1,"Variable Speed HP RTU, Electric Backup",1,"Variable Speed HP RTU, Electric Backup",1,"Variable Speed HP RTU, Electric Backup",1,"Variable Speed HP RTU, Electric Backup",1,"Variable Speed HP RTU, Electric Backup",1,HP RTU E Backup,1,HP-RTU
hvac_0006,VRF Heat Recovery with DOAS,upgrade_hvac_vrf_hr_doas,12,VRF with DOAS,11,VRF with DOAS,11,VRF with DOAS,8,VRF with DOAS,5,VRF with DOAS,3,VRF with DOAS,,
hvac_0007,Demand Control Ventilation,upgrade_hvac_dcv,20,Demand Control Ventilation,19,Demand Control Ventilation,19,Demand Control Ventilation,14,Demand Control Ventilation,11,Demand Control Ventilation,8,DCV,,
hvac_0008,Exhaust Air Heat/Energy Recovery,upgrade_hvac_exhaust_air_energy_or_heat_recovery,21,Energy Recovery for AHUs,20,Energy Recovery for AHUs,20,Energy Recovery for AHUs,15,Energy Recovery for AHUs,12,Energy Recovery for AHUs,9,Energy Recovery,,
